Country Name;Country Code;Series Name;Series Code;2019 [YR2019]
Afghanistan;AFG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;62.941
Albania;ALB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;79.467
Algeria;DZA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.682
American Samoa;ASM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.751
Andorra;AND;Life expectancy at birth, total (years);SP.DYN.LE00.IN;84.098
Angola;AGO;Life expectancy at birth, total (years);SP.DYN.LE00.IN;63.051
Antigua and Barbuda;ATG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.168
Argentina;ARG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.847
Armenia;ARM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.2219512195122
Aruba;ABW;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.019
Australia;AUS;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.9
Austria;AUT;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.8951219512195
Azerbaijan;AZE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;73.29
Bahamas;BHS;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.408
Bahrain;BHR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;80.471
Bangladesh;BGD;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.625
Barbados;BRB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.495
Belarus;BLR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;74.2268292682927
Belgium;BEL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.9951219512195
Belize;BLZ;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.577
Benin;BEN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;59.888
Bermuda;BMU;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.251
Bhutan;BTN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.005
Bolivia;BOL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;67.82
Bosnia and Herzegovina;BIH;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.394
Botswana;BWA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;67.167
Brazil;BRA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.809
British Virgin Islands;VGB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.845
Brunei Darussalam;BRN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.049
Bulgaria;BGR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.1121951219512
Burkina Faso;BFA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;60.184
Burundi;BDI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;62.18
Cabo Verde;CPV;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.449
Cambodia;KHM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;70.127
Cameroon;CMR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;61.695
Canada;CAN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.1636585365854
Cayman Islands;CYM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;79.052
Central African Republic;CAF;Life expectancy at birth, total (years);SP.DYN.LE00.IN;31.53
Chad;TCD;Life expectancy at birth, total (years);SP.DYN.LE00.IN;52.993
Channel Islands;CHI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.2
Chile;CHL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;80.324
China;CHN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.94
Colombia;COL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.793
Comoros;COM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;65.662
Congo Dem. Rep.;COD;Life expectancy at birth, total (years);SP.DYN.LE00.IN;60.242
Congo  Rep.;COG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;63.152
Costa Rica;CRI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;80.296
Cote d'Ivoire;CIV;Life expectancy at birth, total (years);SP.DYN.LE00.IN;60.274
Croatia;HRV;Life expectancy at birth, total (years);SP.DYN.LE00.IN;78.2243902439024
Cuba;CUB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.413
Curacao;CUW;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.492
Cyprus;CYP;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.454
Czechia;CZE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;79.2292682926829
Denmark;DNK;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.4512195121951
Djibouti;DJI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;64.381
Dominica;DMA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.305
Dominican Republic;DOM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;73.112
Ecuador;ECU;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.286
Egypt;EGY;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.213
El Salvador;SLV;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.725
Equatorial Guinea;GNQ;Life expectancy at birth, total (years);SP.DYN.LE00.IN;62.297
Eritrea;ERI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;67.306
Estonia;EST;Life expectancy at birth, total (years);SP.DYN.LE00.IN;78.6463414634147
Eswatini;SWZ;Life expectancy at birth, total (years);SP.DYN.LE00.IN;59.85
Ethiopia;ETH;Life expectancy at birth, total (years);SP.DYN.LE00.IN;65.741
Faroe Islands;FRO;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.4439024390244
Fiji;FJI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;67.009
Finland;FIN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.9829268292683
France;FRA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.8268292682927
French Polynesia;PYF;Life expectancy at birth, total (years);SP.DYN.LE00.IN;83.195
Gabon;GAB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;67.337
Gambia;GMB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;64.427
Georgia;GEO;Life expectancy at birth, total (years);SP.DYN.LE00.IN;74.165
Germany;DEU;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.2926829268293
Ghana;GHA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;64.455
Gibraltar;GIB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;83.183
Greece;GRC;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.6390243902439
Greenland;GRL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.9443902439024
Grenada;GRD;Life expectancy at birth, total (years);SP.DYN.LE00.IN;74.971
Guam;GUM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.645
Guatemala;GTM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.639
Guinea;GIN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;59.379
Guinea-Bissau;GNB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;62.161
Guyana;GUY;Life expectancy at birth, total (years);SP.DYN.LE00.IN;69.067
Haiti;HTI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;64.328
Honduras;HND;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.124
Hong Kong SAR;HKG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;85.1558536585366
Hungary;HUN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.3195121951219
Iceland;ISL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;83.1634146341463
India;IND;Life expectancy at birth, total (years);SP.DYN.LE00.IN;70.746
Indonesia;IDN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;70.349
Iran;IRN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.855
Iraq;IRQ;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.245
Ireland;IRL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.7024390243903
Isle of Man;IMN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;80.74
Israel;ISR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.8048780487805
Italy;ITA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;83.4975609756098
Jamaica;JAM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.532
Japan;JPN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;84.3563414634146
Jordan;JOR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.865
Kazakhstan;KAZ;Life expectancy at birth, total (years);SP.DYN.LE00.IN;73.658
Kenya;KEN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;62.939
Kiribati;KIR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;65.866
Korea Dem. People's Rep.;PRK;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.928
Korea Rep.;KOR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;83.2268292682927
Kosovo;XKX;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.249
Kuwait;KWT;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.969756097561
Kyrgyz Republic;KGZ;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.6
Lao PDR;LAO;Life expectancy at birth, total (years);SP.DYN.LE00.IN;67.911
Latvia;LVA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.3878048780488
Lebanon;LBN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;78.208
Lesotho;LSO;Life expectancy at birth, total (years);SP.DYN.LE00.IN;55.249
Liberia;LBR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;61.232
Libya;LBY;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.941
Liechtenstein;LIE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;84.1609756097561
Lithuania;LTU;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.2829268292683
Luxembourg;LUX;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.6390243902439
Macao SAR;MAC;Life expectancy at birth, total (years);SP.DYN.LE00.IN;83.9292682926829
Madagascar;MDG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;63.504
Malawi;MWI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;64.995
Malaysia;MYS;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.9
Maldives;MDV;Life expectancy at birth, total (years);SP.DYN.LE00.IN;79.707
Mali;MLI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;59.217
Malta;MLT;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.6585365853659
Marshall Islands;MHL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.047
Mauritania;MRT;Life expectancy at birth, total (years);SP.DYN.LE00.IN;67.64
Mauritius;MUS;Life expectancy at birth, total (years);SP.DYN.LE00.IN;74.2358536585366
Mexico;MEX;Life expectancy at birth, total (years);SP.DYN.LE00.IN;74.53
Micronesia;FSM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.196
Moldova;MDA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;70.181
Monaco;MCO;Life expectancy at birth, total (years);SP.DYN.LE00.IN;86.151
Mongolia;MNG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.0531707317073
Montenegro;MNE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.6829268292683
Morocco;MAR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;74.245
Mozambique;MOZ;Life expectancy at birth, total (years);SP.DYN.LE00.IN;61.306
Myanmar;MMR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.457
Namibia;NAM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;63.546
Nauru;NRU;Life expectancy at birth, total (years);SP.DYN.LE00.IN;61.393
Nepal;NPL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;69.299
Netherlands;NLD;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.1121951219512
New Caledonia;NCL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.262
New Zealand;NZL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.0560975609756
Nicaragua;NIC;Life expectancy at birth, total (years);SP.DYN.LE00.IN;73.764
Niger;NER;Life expectancy at birth, total (years);SP.DYN.LE00.IN;60.031
Nigeria;NGA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;53.009
North Macedonia;MKD;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.6024390243903
Northern Mariana Islands;MNP;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.844
Norway;NOR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.9585365853659
Oman;OMN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;79.946
Pakistan;PAK;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.729
Palau;PLW;Life expectancy at birth, total (years);SP.DYN.LE00.IN;68.982
Panama;PAN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;78.514
Papua New Guinea;PNG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;65.331
Paraguay;PRY;Life expectancy at birth, total (years);SP.DYN.LE00.IN;73.668
Peru;PER;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.275
Philippines;PHL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;69.68
Poland;POL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.9048780487805
Portugal;PRT;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.6756097560976
Puerto Rico (US);PRI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.438
Qatar;QAT;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.945
Romania;ROU;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.6073170731707
Russian Federation;RUS;Life expectancy at birth, total (years);SP.DYN.LE00.IN;73.0839024390244
Rwanda;RWA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.691
Samoa;WSM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;70.269
San Marino;SMR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;85.257
Sao Tome and Principe;STP;Life expectancy at birth, total (years);SP.DYN.LE00.IN;68.043
Saudi Arabia;SAU;Life expectancy at birth, total (years);SP.DYN.LE00.IN;78.313
Senegal;SEN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;67.668
Serbia;SRB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.9365853658537
Seychelles;SYC;Life expectancy at birth, total (years);SP.DYN.LE00.IN;74.0463414634146
Sierra Leone;SLE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;59.593
Singapore;SGP;Life expectancy at birth, total (years);SP.DYN.LE00.IN;83.5951219512195
Sint Maarten (Dutch part);SXM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.68
Slovak Republic;SVK;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.6658536585366
Slovenia;SVN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.5292682926829
Solomon Islands;SLB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;69.981
Somalia;SOM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;57.249
South Africa;ZAF;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.071
South Sudan;SSD;Life expectancy at birth, total (years);SP.DYN.LE00.IN;58.129
Spain;ESP;Life expectancy at birth, total (years);SP.DYN.LE00.IN;83.8317073170732
Sri Lanka;LKA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.698
St. Kitts and Nevis;KNA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.54
St. Lucia;LCA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.249
St. Martin (French part);MAF;Life expectancy at birth, total (years);SP.DYN.LE00.IN;80.078
St. Vincent and the Grenadines;VCT;Life expectancy at birth, total (years);SP.DYN.LE00.IN;70.994
Sudan;SDN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;65.803
Suriname;SUR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.773
Sweden;SWE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;83.109756097561
Switzerland;CHE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;83.9048780487805
Syrian Arab Republic;SYR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;70.97
Tajikistan;TJK;Life expectancy at birth, total (years);SP.DYN.LE00.IN;70.962
Tanzania;TZA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.007
Thailand;THA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.197
Timor-Leste;TLS;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.496
Togo;TGO;Life expectancy at birth, total (years);SP.DYN.LE00.IN;61.055
Tonga;TON;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.292
Trinidad and Tobago;TTO;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.836
Tunisia;TUN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.599
Turkiye;TUR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.737
Turkmenistan;TKM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;69.405
Turks and Caicos Islands;TCA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.691
Tuvalu;TUV;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.109
Uganda;UGA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.354
Ukraine;UKR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;73.92
United Arab Emirates;ARE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.596
United Kingdom;GBR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.3691219512195
United States;USA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;78.7878048780488
Uruguay;URY;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.503
Uzbekistan;UZB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.093
Vanuatu;VUT;Life expectancy at birth, total (years);SP.DYN.LE00.IN;70.783
Venezuela;VEN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.766
Viet Nam;VNM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;74.211
Virgin Islands (U.S.);VIR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;79.6682926829268
West Bank and Gaza;PSE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.811
Yemen;YEM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.567
Zambia;ZMB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;62.914
Zimbabwe;ZWE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;61.06
